delay_band,orders,pct
<= -14,42065,43.60422929408106
-13 a -7,34075,35.32186171866902
-6 a -3,9492,9.839328288587126
-2 a -1,3012,3.122214159842438
0,1292,1.3392764590027988
1,825,0.855188141391106
2 a 3,1045,1.0832383124287344
4 a 7,1802,1.8679382191354825
8 a 14,1478,1.5320825126982482
15 a 30,1039,1.0770187623095262
> 30,345,0.3576241318544625
