group_variable,group_level,n,burden_mean,burden_median,price_median,freight_median,distance_median
multi_seller_order,0,94452,0.20879477257352685,0.1832560676302154,84.99,17.06,433.8553990176802
multi_seller_order,1,1266,0.21847848362985992,0.20077614540463515,160.2,37.22,422.2554355177091
any_interstate_route,0,34429,0.17515934155142626,0.153073208926008,74.9,12.69,96.26929857082098
any_interstate_route,1,61289,0.22788945241586753,0.2031800523985906,91.28,19.06,655.1802668397888
