year_month,n_valid,median_log_ratio,mad_log_ratio,scaled_mad,robust_scale_usable
2017-01,0.0,,,,0
2017-02,0.0,,,,0
2017-03,0.0,,,,0
2017-04,2303.0,-0.0024225966420444106,0.07252313574751391,0.10752280105926412,1
2017-05,3546.0,-0.0034993436913894897,0.0994427112086147,0.14743376363789215,1
2017-06,3135.0,0.00786388006301936,0.09939053112366378,0.1473564014439439,1
2017-07,3872.0,-0.0077520532222658586,0.09200704060332565,0.1364096383984906,1
2017-08,4193.0,-0.010759938520292507,0.09138851971245851,0.13549261932569098,1
2017-09,4150.0,0.004246718390652721,0.0897933171150278,0.1331275719547402,1
2017-10,4478.0,-0.002190696261582897,0.09090168248612096,0.13477083445392293,1
2017-11,7289.0,0.0036517775141955175,0.09029259200419777,0.1338677969054236,1
2017-12,5513.0,-0.00770588218644839,0.08963489942926586,0.13289270189382957,1
2018-01,7069.0,-0.005975676873643559,0.08640245716995178,0.12810028300017048,1
2018-02,6555.0,-0.009881047862474785,0.08779101198545287,0.13015895436963243,1
2018-03,7003.0,0.053171630638471266,0.1437931783432364,0.21318776621168228,1
2018-04,6798.0,0.030951681278313166,0.1517473256186202,0.2249805849621663,1
2018-05,6749.0,0.00761625073519912,0.16232198190242986,0.2406585703685425,1
2018-06,6099.0,0.0873814055875931,0.14370844148923398,0.2130621353519383,1
2018-07,6159.0,0.08453454832347146,0.14433374122636589,0.21398920474221006,1
2018-08,6351.0,0.055999978564984364,0.1339575751024062,0.1986055008468274,1
