field,n,mean,std,min,q01,q05,q10,q25,q50,q75,q90,q95,q99,max
actual_delivery_days_recomputed,96203,12.538460850026429,9.530142259963908,0.5334143518518518,1.8237377314814815,3.011646990740741,4.15437962962963,6.7566898148148145,10.209988425925927,15.68267361111111,23.06388194444445,29.21576620370368,46.00996365740737,209.6286111111111
promised_delivery_days_recomputed,96211,23.648402630772562,8.603821380188606,2.0080092592592593,6.0380821759259256,10.472135416666667,13.045474537037038,18.31902199074074,23.215428240740742,28.374450231481482,34.185150462962966,38.20836226851851,48.24018518518518,155.13546296296298
delivery_gap_days_continuous,96203,-11.109930224826478,10.090530484289905,-146.0161226851852,-34.31090254629629,-25.367903935185183,-21.233703703703704,-16.224629629629632,-11.817523148148148,-6.38076388888889,-1.1298819444444443,3.8256249999999983,18.96621527777768,188.97508101851852
delivery_gap_calendar_days,96203,-11.807968566468821,10.088941702465855,-147.0,-35.0,-26.0,-22.0,-17.0,-12.0,-7.0,-2.0,3.0,18.0,188.0
positive_tardiness_days,96203,0.7764315109523419,4.7577670415266535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8256249999999983,18.96621527777768,188.97508101851852
early_delivery_days,96203,11.886361735778816,7.792584600919434,0.0,0.0,0.0,1.1298819444444446,6.38076388888889,11.817523148148148,16.224629629629632,21.233703703703704,25.36790393518518,34.31090254629629,146.0161226851852
