year_month,n_orders,n_service_observed,service_coverage_pct,actual_days_mean,actual_days_median,promised_days_mean,promised_days_median,gap_days_mean,gap_days_median,positive_tardiness_mean,late_rate_official
2017-01,750,750,100.0,12.647043518518517,10.733645833333334,39.50883101851852,38.98290509259259,-26.861787500000002,-28.32950810185185,0.608692901234568,0.029333333333333333
2017-02,1653,1653,100.0,13.168825248986131,10.971203703703704,31.848929478669533,30.17646990740741,-18.680104229683405,-19.412592592592592,0.6325676519683627,0.029643073200241985
2017-03,2546,2546,100.0,12.951184487831313,10.126487268518519,24.73238647769922,22.585219907407406,-11.781201989867911,-13.315289351851852,1.1892368748363449,0.04556166535742341
2017-04,2303,2303,100.0,14.917912500402053,12.748622685185186,27.34981020126727,25.47054398148148,-12.431897700865216,-13.48056712962963,0.8499348022305849,0.06556665219279201
2017-05,3546,3545,99.9717992103779,11.322362975369588,9.793333333333333,24.284783553387662,23.33525462962963,-12.962420578018076,-13.428842592592593,0.394751985059813,0.029892836999435984
2017-06,3135,3135,100.0,12.011572704383013,10.804907407407407,24.021864407968575,23.41980324074074,-12.010291703585562,-12.422407407407407,0.4583231141827633,0.030303030303030304
2017-07,3872,3872,100.0,11.592732387200606,10.158072916666665,23.317316061299547,23.01266782407407,-11.724583674098943,-12.23242476851852,0.35109563018920265,0.027892561983471075
2017-08,4193,4193,100.0,11.147124655510508,9.769814814814815,23.480602743439242,22.552777777777777,-12.333478087928734,-12.426030092592592,0.27933835106570915,0.02909611256856666
2017-09,4150,4150,100.0,11.85100652889335,10.314432870370371,22.437366334783576,22.138738425925926,-10.586359805890229,-11.117789351851851,0.4501771948906738,0.04385542168674699
2017-10,4478,4478,100.0,11.856699698526128,10.263362268518518,23.019535817081042,22.398171296296297,-11.162836118554912,-11.39865162037037,0.4236886377640481,0.041759714158106295
2017-11,7289,7288,99.9862806969406,15.161131699241777,12.698680555555555,22.560752014663883,22.269305555555555,-7.399620315422104,-9.077135416666668,1.4872036112762737,0.12402249965701742
2017-12,5513,5513,100.0,15.39491853010729,13.1421875,27.6813399641252,27.43806712962963,-12.286421434017909,-13.299270833333333,0.7841709431747185,0.07455106112824234
2018-01,7069,7069,100.0,14.080562613956085,11.830115740740741,26.302555420969494,25.569814814814816,-12.22199280701341,-13.154305555555556,0.7235055822108004,0.05700947800254633
2018-02,6555,6555,100.0,16.94513756815549,14.26375,24.52899605015962,24.260381944444443,-7.583858482004125,-9.385092592592592,1.8899369226205611,0.14126620900076278
2018-03,7003,7003,100.0,16.30141017440938,13.367731481481481,22.033066807347115,21.323680555555555,-5.731656632937736,-7.072627314814815,2.046681984176094,0.18963301442239042
2018-04,6798,6798,100.0,11.499241053673193,9.314728009259259,23.6795464147952,23.41991898148148,-12.180305361122008,-12.963859953703704,0.5051516615725758,0.04501323918799647
2018-05,6749,6749,100.0,11.419028935356678,9.14787037037037,22.891488265751306,21.464895833333333,-11.472459330394626,-11.181458333333333,0.5240295390126384,0.06563935397836716
2018-06,6099,6096,99.9508116084604,9.239216293167347,7.95761574074074,27.772740093686206,27.27822337962963,-18.533523800518857,-18.433732638888888,0.16529102075131236,0.011641252664371209
2018-07,6159,6156,99.95129079396006,8.958636237154957,7.5017245370370365,19.690126530801024,19.332650462962963,-10.731490293646067,-10.265584490740741,0.3139917394652612,0.033771716187692806
2018-08,6351,6351,100.0,7.732779720458137,7.013703703703704,15.186330203904896,13.439317129629629,-7.453550483446759,-6.070543981481482,0.34108023597916914,0.061880018894662256
