scenario,variable,change,mean_predicted_burden_delta,median_predicted_burden_delta,p10_delta,p90_delta
total_price_PLUS_10PCT,total_price,0.1,-0.012644294972415893,-0.01285864041616086,-0.018989047331582624,-0.0060750395047692385
distance_freight_weighted_km_PLUS_10PCT,distance_freight_weighted_km,0.1,0.002095022337445713,0.0021248522116975033,0.0009925987653815235,0.0031739972656766036
total_weight_g_PLUS_10PCT,total_weight_g,0.1,0.0019051563970794519,0.0019325082589495834,0.0009159270108589649,0.0028704199598153122
product_volume_sum_proxy_cm3_PLUS_10PCT,product_volume_sum_proxy_cm3,0.1,0.0006529584909793162,0.0006616270184120893,0.0003134302166829986,0.0009855186888218237
INTERSTATE_0_TO_1,any_interstate_route,1.0,0.032745331900863636,0.032991445107436804,0.015908957018078262,0.049479986540148534
