cost_service_quadrant,n,pct_of_classifiable,cost_anomaly_median,freight_log_ratio_median,freight_burden_median,delivery_gap_median,late_rate
BENCHMARK_LOW_COST_GOOD_SERVICE,21337,23.379939076505007,-1.1420957539574332,-0.1686445709158206,0.1431786703601107,-11.073622685185185,0.0
LOW_COST_POOR_SERVICE,1479,1.6206087966513993,-1.1832782557643144,-0.1773185410106537,0.1414438817571546,6.822002314814815,1.0
NEUTRAL_MIDDLE_COST,45630,49.998904253687186,0.0,0.0128029863261438,0.1838842975206611,-11.372667824074073,0.06728029804952881
OPERATIONAL_LEAKAGE_CANDIDATE,1795,1.966864631500515,1.4521068544599132,0.2673006413052662,0.2267492499758056,7.8281018518518515,1.0
PREMIUM_COST_GOOD_SERVICE,21021,23.033683241655893,1.385393014607438,0.2690287730901333,0.2260061919504644,-13.154265046296297,0.0
