model,term,coef,std_err_HC1,z,p_value,converged,p_value_fdr_bh,fdr_reject_005
M0_PRICE,Intercept,1.676704997542456,0.00858776578894794,195.24344733531254,0.0,True,,
M0_PRICE,log_price,-0.6999342632873095,0.0020636657141148993,-339.1703697454262,0.0,True,,
M1_PHYSICAL,Intercept,-0.13948569483224268,0.015104031024444005,-9.234997902646144,2.5829107495427948e-20,True,,
M1_PHYSICAL,log_price,-0.9016144578333598,0.0017517568076658063,-514.6915678522463,0.0,True,,
M1_PHYSICAL,log_distance,0.1429638849966497,0.0013975634696563662,102.29509292468967,0.0,True,,
M1_PHYSICAL,log_weight,0.12901673846910716,0.0016740854167833117,77.06699859855877,0.0,True,,
M1_PHYSICAL,log_volume,0.04315799175693897,0.0014923788176819167,28.91892544010739,6.903669136514067e-184,True,,
M1_PHYSICAL,route_sellers_total,0.4501508118229364,0.011094485056465557,40.57428619101173,0.0,True,,
M1_PHYSICAL,any_interstate_route,0.2134809148502996,0.0033925968312950284,62.92551855293966,0.0,True,,
M2_PHYSICAL_TIME,Intercept,-0.158888422575132,0.020910048308598,-7.598663581747858,2.992044752728382e-14,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-02],-0.01108228988800009,0.016295221202291415,-0.680094473736982,0.49644464339846606,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-03],-0.02922556780324193,0.015489749669802924,-1.8867682452103673,0.0591915039609382,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-04],-0.032543839261085714,0.015519572301093694,-2.0969546473128187,0.03599759027709734,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-05],-0.04010915693038645,0.015223313676279389,-2.6347192065603693,0.008420691141288244,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-06],-0.0318166711442403,0.01539393999090019,-2.0668309193778893,0.03875008890332123,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-07],-0.04727735999224483,0.01509488265557204,-3.1320124224213917,0.0017361252932284006,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-08],-0.04414499550780446,0.015078693521613633,-2.927640610542784,0.0034154458484323097,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-09],-0.036053125153064004,0.015086961486974401,-2.389687624256953,0.01686270829486075,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-10],-0.022509316881437542,0.015022691785689728,-1.4983544362455337,0.13404118777725824,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-11],-0.02198937616676061,0.01465934592594898,-1.5000243720176156,0.1336080894428684,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2017-12],-0.03505402052831263,0.014812325062802428,-2.366544102947236,0.017955034870182646,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2018-01],-0.02533926900432756,0.014620706876002755,-1.7331083386889716,0.08307641452781472,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2018-02],-0.0321900034726208,0.014651549904605387,-2.1970374248599183,0.028017773483859684,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2018-03],0.055098278380526514,0.014740744041818483,3.737822068154529,0.00018562123242068227,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2018-04],0.014119388369930702,0.014969950812486263,0.9431820148770217,0.34558781106298375,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2018-05],-0.012339537065909305,0.01512368361121451,-0.8159081731093141,0.4145526572487931,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2018-06],0.11393829593117373,0.01483693454379728,7.679369049909755,1.5987404617184575e-14,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2018-07],0.11903989252317239,0.014760824006518264,8.0645831472962,7.348617729175094e-16,True,,
M2_PHYSICAL_TIME,C(year_month)[T.2018-08],0.0883435291693061,0.014692248540751254,6.012934570516656,1.8219458759457677e-09,True,,
M2_PHYSICAL_TIME,log_price,-0.9053226170042322,0.001734276205466506,-522.0175506938399,0.0,True,0.0,1.0
M2_PHYSICAL_TIME,log_distance,0.14455571606434411,0.001397465241291271,103.44136783736623,0.0,True,0.0,1.0
M2_PHYSICAL_TIME,log_weight,0.13064058831650902,0.0016571220574803606,78.83582728670383,0.0,True,0.0,1.0
M2_PHYSICAL_TIME,log_volume,0.04476697891860379,0.001484713594590268,30.151929019655807,1.0119554159210295e-199,True,1.0119554159210295e-199,1.0
M2_PHYSICAL_TIME,route_sellers_total,0.4416568058806894,0.011002276142018963,40.142312388792995,0.0,True,0.0,1.0
M2_PHYSICAL_TIME,any_interstate_route,0.21741333678479804,0.003367873831852174,64.55507172762194,0.0,True,0.0,1.0
