threshold_quantile,cost_anomaly_threshold,freight_burden_threshold,n_eligible,n_critical,critical_pct_eligible
0.75,0.6922862510782408,0.27566358758814213,91262,647,0.7089478643904363
0.8,0.8955831350826089,0.3031173092698933,91262,446,0.4887028555148912
0.9,1.6677527849009401,0.383629191321499,91262,150,0.1643619469220486
