purchase_month,orders,item_missing_count,item_missing_pct,payment_missing_count,payment_missing_pct,product_category_missing_count,product_category_missing_pct,product_physical_missing_count,product_physical_missing_pct,customer_geo_missing_count,customer_geo_missing_pct,seller_geo_missing_count,seller_geo_missing_pct
2016-09,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,1,25.0
2016-10,324,16,4.938271604938271,0,0.0,18,5.555555555555555,16,4.938271604938271,0,0.0,16,4.938271604938271
2016-12,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-01,800,11,1.375,0,0.0,22,2.75,12,1.5,0,0.0,11,1.375
2017-02,1780,47,2.640449438202247,0,0.0,99,5.561797752808989,47,2.640449438202247,1,0.056179775280898875,47,2.640449438202247
2017-03,2682,41,1.528709917971663,0,0.0,98,3.6539895600298284,44,1.6405667412378822,8,0.29828486204325133,45,1.6778523489932886
2017-04,2404,13,0.540765391014975,0,0.0,76,3.1613976705490847,19,0.7903494176372712,6,0.24958402662229617,21,0.8735440931780366
2017-05,3700,40,1.0810810810810811,0,0.0,126,3.4054054054054053,40,1.0810810810810811,11,0.2972972972972973,49,1.3243243243243243
2017-06,3245,28,0.8628659476117103,0,0.0,83,2.5577812018489983,30,0.9244992295839753,13,0.40061633281972264,37,1.140215716486903
2017-07,4026,57,1.4157973174366616,0,0.0,112,2.7819175360158965,59,1.4654744162940885,9,0.22354694485842028,70,1.7386984600099353
2017-08,4331,38,0.8773955206649734,0,0.0,104,2.4012930039251903,40,0.9235742322789194,12,0.2770722696836758,49,1.1313784345416762
2017-09,4285,42,0.9801633605600933,0,0.0,104,2.427071178529755,42,0.9801633605600933,12,0.28004667444574094,56,1.3068844807467912
2017-10,4631,63,1.3603973223925718,0,0.0,126,2.7207946447851437,63,1.3603973223925718,14,0.3023105160872382,78,1.6843014467717556
2017-11,7544,93,1.2327677624602333,0,0.0,208,2.757158006362672,93,1.2327677624602333,23,0.3048780487804878,109,1.4448568398727466
2017-12,5673,49,0.8637405252952582,0,0.0,186,3.278688524590164,49,0.8637405252952582,16,0.28203772254539045,66,1.1634056054997355
2018-01,7269,49,0.6740954739303894,0,0.0,233,3.2053927637914432,49,0.6740954739303894,14,0.19259870683725408,68,0.9354794332095199
2018-02,6728,34,0.5053507728894173,0,0.0,144,2.140309155766944,34,0.5053507728894173,24,0.356718192627824,50,0.7431629013079667
2018-03,7211,23,0.3189571488004438,0,0.0,150,2.0801553182637638,23,0.3189571488004438,22,0.3050894466786853,35,0.48536957426154487
2018-04,6939,5,0.07205649228995532,0,0.0,79,1.1384925781812942,5,0.07205649228995532,21,0.30263726761781234,19,0.27381467070183024
2018-05,6873,20,0.29099374363451186,0,0.0,58,0.8438818565400844,20,0.29099374363451186,18,0.2618943692710607,37,0.5383384257238469
2018-06,6167,7,0.11350737797956867,0,0.0,29,0.47024485162964164,7,0.11350737797956867,16,0.25944543538187126,19,0.3080914545159721
2018-07,6292,19,0.3019707565162111,0,0.0,61,0.9694850603941513,19,0.3019707565162111,17,0.270184361093452,25,0.39732994278448824
2018-08,6512,60,0.9213759213759214,0,0.0,90,1.382063882063882,60,0.9213759213759214,21,0.3224815724815725,68,1.0442260442260443
2018-09,16,15,93.75,0,0.0,15,93.75,15,93.75,0,0.0,15,93.75
2018-10,4,4,100.0,0,0.0,4,100.0,4,100.0,0,0.0,4,100.0
