product_category_name,count,pct
cama_mesa_banho,3029,9.365820475557342
esporte_lazer,2867,8.86490832070746
moveis_decoracao,2657,8.215577749605764
beleza_saude,2444,7.556971027488328
utilidades_domesticas,2335,7.21993754058316
automotivo,1900,5.874895643301073
informatica_acessorios,1639,5.06787050493182
brinquedos,1411,4.362883027735691
relogios_presentes,1329,4.109334899972172
telefonia,1134,3.5063850839491666
bebes,919,2.8415942611545715
perfumaria,868,2.6838996938870165
papelaria,849,2.625150737454006
fashion_bolsas_e_acessorios,849,2.625150737454006
cool_stuff,789,2.439627717139235
ferramentas_jardim,753,2.3283139049503725
pet_shop,719,2.2231841934386694
eletronicos,517,1.5985900250456078
construcao_ferramentas_construcao,400,1.236820135431805
eletrodomesticos,370,1.1440586252744194
malas_acessorios,349,1.0791255681642498
consoles_games,317,0.9801799573297053
moveis_escritorio,309,0.9554435546210692
instrumentos_musicais,289,0.893602547849479
eletroportateis,231,0.7142636282118673
casa_construcao,225,0.6957113261803902
livros_interesse_geral,216,0.6678828731331746
fashion_calcados,173,0.5349247085742556
moveis_sala,156,0.4823598528184039
climatizacao,124,0.3834142419838595
livros_tecnicos,123,0.38032219164527997
telefonia_fixa,116,0.3586778392752234
casa_conforto,111,0.34321758758232584
market_place,104,0.32157323521226927
alimentos_bebidas,104,0.32157323521226927
fashion_roupa_masculina,95,0.2937447821650536
moveis_cozinha_area_de_servico_jantar_e_jardim,94,0.2906527318264741
sinalizacao_e_seguranca,93,0.2875606814878946
construcao_ferramentas_seguranca,91,0.2813765808107356
eletrodomesticos_2,90,0.27828453047215607
construcao_ferramentas_jardim,88,0.27210042979499705
alimentos,82,0.25354812776352
bebidas,81,0.25045607742494047
construcao_ferramentas_iluminacao,78,0.24117992640920194
agro_industria_e_comercio,74,0.2288117250548839
industria_comercio_e_negocios,68,0.21025942302340683
artigos_de_natal,65,0.20098327200766827
audio,58,0.1793389196376117
artes,55,0.17006276862187317
fashion_underwear_e_moda_praia,53,0.16387866794471415
dvds_blu_ray,48,0.1484184162518166
moveis_quarto,45,0.13914226523607803
construcao_ferramentas_ferramentas,39,0.12058996320460097
livros_importados,31,0.09585356049596487
portateis_casa_forno_e_cafe,31,0.09585356049596487
pcs,30,0.09276151015738536
cine_foto,28,0.08657740948022634
fashion_roupa_feminina,27,0.08348535914164683
musica,27,0.08348535914164683
artigos_de_festas,26,0.08039330880306732
artes_e_artesanato,19,0.05874895643301073
fashion_esporte,19,0.05874895643301073
flores,14,0.04328870474011317
fraldas_higiene,12,0.03710460406295415
la_cuisine,10,0.03092050338579512
moveis_colchao_e_estofado,10,0.03092050338579512
portateis_cozinha_e_preparadores_de_alimentos,10,0.03092050338579512
tablets_impressao_imagem,9,0.02782845304721561
fashion_roupa_infanto_juvenil,5,0.01546025169289756
casa_conforto_2,5,0.01546025169289756
pc_gamer,3,0.009276151015738537
seguros_e_servicos,2,0.006184100677159024
cds_dvds_musicais,1,0.003092050338579512
