table,variable,n_total,n_valid,missing,missing_pct,unique,dominant_value_share_pct,zero_count,zero_pct,min,p01,p05,q1,median,mean,q3,p95,p99,p995,max,std,iqr,mad,skewness,kurtosis,iqr_lower,iqr_upper,iqr_candidate_count,iqr_candidate_pct,mad_candidate_count,mad_candidate_pct
order_items,price,112650,112650,0,0.0,5968,2.202396804260985,0,0.0,0.85,9.99,17.0,39.9,74.99,120.65373901464713,134.9,349.9,890.0,1218.082650000056,6735.0,183.6339280502594,95.0,42.089999999999996,7.9232082632135095,120.82829811136259,-102.6,277.4,8427,7.480692410119841,7714,6.847758544163338
order_items,freight_value,112650,112650,0,0.0,6999,3.2907234798047047,383,0.33999112294718153,0.0,4.4198,7.78,13.08,16.26,19.990319928983578,21.15,45.12,84.52,106.2251000000001,409.68,15.806405412297082,8.069999999999999,3.610000000000001,5.639869620428685,59.78825261835198,0.9750000000000032,33.254999999999995,12134,10.771415889924546,10284,9.129161118508655
payments,payment_value,103886,103886,0,0.0,29077,0.3118803303621277,9,0.008663342510059104,0.0,6.69,26.1125,56.79,100.0,154.10038041699556,171.8375,437.635,1039.9164999999994,1410.275749999994,13664.08,217.49406386472435,115.04750000000001,51.550000000000004,9.25400952847806,241.82844191450522,-115.78125000000003,344.40875000000005,7981,7.682459619197967,7088,6.8228635234776585
payments,payment_installments,103886,103886,0,0.0,24,50.58044394817396,2,0.0019251872244575785,0.0,1.0,1.0,1.0,1.0,2.853348863176944,4.0,10.0,10.0,10.0,24.0,2.687050673856479,3.0,0.0,1.6550737635551807,2.5500479292629454,-3.5,8.5,6313,6.076853474000346,0,0.0
products,product_weight_g,32951,32949,2,0.006069618524475737,2204,6.324926401408237,4,0.012139973899056118,0.0,60.0,105.0,300.0,700.0,2276.4724877841513,1900.0,10850.0,22538.00000000001,28500.0,40425.0,4282.038730977007,1600.0,500.0,3.6048597822753066,15.13356470958467,-2100.0,4300.0,4551,13.812255303651098,5469,16.598379313484475
products,product_length_cm,32951,32949,2,0.006069618524475737,99,16.75316398069744,0,0.0,7.0,16.0,16.0,18.0,25.0,30.81507784758263,38.0,65.0,100.0,104.0,105.0,16.914458054065967,20.0,8.0,1.7504597083360076,3.5136180424450996,-12.0,68.0,1380,4.18829099517436,1503,4.561595192570336
products,product_height_cm,32951,32949,2,0.006069618524475737,102,7.733163373698747,0,0.0,2.0,2.0,3.0,8.0,13.0,16.937661234028347,21.0,44.0,69.0,79.0,105.0,13.637554061749494,13.0,6.0,2.1400612809133093,6.678618937772553,-11.5,40.5,1892,5.742207654253543,1599,4.852954566147683
products,product_width_cm,32951,32949,2,0.006069618524475737,95,11.284105739172661,0,0.0,6.0,11.0,11.0,15.0,20.0,23.196728277034204,30.0,47.0,63.0,70.0,118.0,12.079047453227835,15.0,6.0,1.6709713361516598,4.073125916884521,-7.5,52.5,912,2.7679140489847947,994,3.016783513915445
