gate,check_id,table,variable,dimension,severity,status,affected_rows,affected_pct,observed,expected,details
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-VAR-006,products,product_length_cm,statistical_variability,WARNING,PASS,0,0.0,unique=99; dominant=16.7532%,non-constant / non-degenerate,adequate variability
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-VAR-007,products,product_height_cm,statistical_variability,WARNING,PASS,0,0.0,unique=102; dominant=7.7332%,non-constant / non-degenerate,adequate variability
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-VAR-008,products,product_width_cm,statistical_variability,WARNING,PASS,0,0.0,unique=95; dominant=11.2841%,non-constant / non-degenerate,adequate variability
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-MISS-001,__order_level__,item_missing,missingness_temporal_profile,INFO,INFO,0,0.0,min=0.0721%; max=4.9383%; range=4.8662 pp,diagnostic only; formal drift evaluated later,Months with at least 100 orders.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-MISS-002,__order_level__,payment_missing,missingness_temporal_profile,INFO,INFO,0,0.0,min=0.0000%; max=0.0000%; range=0.0000 pp,diagnostic only; formal drift evaluated later,Months with at least 100 orders.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-MISS-003,__order_level__,product_category_missing,missingness_temporal_profile,INFO,INFO,0,0.0,min=0.4702%; max=5.5618%; range=5.0916 pp,diagnostic only; formal drift evaluated later,Months with at least 100 orders.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-MISS-004,__order_level__,product_physical_missing,missingness_temporal_profile,INFO,INFO,0,0.0,min=0.0721%; max=4.9383%; range=4.8662 pp,diagnostic only; formal drift evaluated later,Months with at least 100 orders.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-MISS-005,__order_level__,customer_geo_missing,missingness_temporal_profile,INFO,INFO,0,0.0,min=0.0000%; max=0.4006%; range=0.4006 pp,diagnostic only; formal drift evaluated later,Months with at least 100 orders.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-MISS-006,__order_level__,seller_geo_missing,missingness_temporal_profile,INFO,INFO,0,0.0,min=0.2738%; max=4.9383%; range=4.6645 pp,diagnostic only; formal drift evaluated later,Months with at least 100 orders.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-TAIL-043,order_items,price,tail_behavior,INFO,INFO,8427,7.480692410119841,"IQR flags=8,427 (7.4807%); MAD flags=7,714 (6.8478%)",diagnostic only,Extremo não implica erro; nenhuma remoção aplicada.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-TAIL-044,order_items,freight_value,tail_behavior,INFO,INFO,12134,10.771415889924546,"IQR flags=12,134 (10.7714%); MAD flags=10,284 (9.1292%)",diagnostic only,Extremo não implica erro; nenhuma remoção aplicada.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-TAIL-045,payments,payment_value,tail_behavior,INFO,INFO,7981,7.682459619197967,"IQR flags=7,981 (7.6825%); MAD flags=7,088 (6.8229%)",diagnostic only,Extremo não implica erro; nenhuma remoção aplicada.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-TAIL-046,payments,payment_installments,tail_behavior,INFO,INFO,6313,6.076853474000346,"IQR flags=6,313 (6.0769%); MAD flags=0 (0.0000%)",diagnostic only,Extremo não implica erro; nenhuma remoção aplicada.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-TAIL-047,products,product_weight_g,tail_behavior,INFO,INFO,4551,13.812255303651098,"IQR flags=4,551 (13.8123%); MAD flags=5,469 (16.5984%)",diagnostic only,Extremo não implica erro; nenhuma remoção aplicada.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-TAIL-048,products,product_length_cm,tail_behavior,INFO,INFO,1380,4.18829099517436,"IQR flags=1,380 (4.1883%); MAD flags=1,503 (4.5616%)",diagnostic only,Extremo não implica erro; nenhuma remoção aplicada.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-TAIL-049,products,product_height_cm,tail_behavior,INFO,INFO,1892,5.742207654253543,"IQR flags=1,892 (5.7422%); MAD flags=1,599 (4.8530%)",diagnostic only,Extremo não implica erro; nenhuma remoção aplicada.
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-TAIL-050,products,product_width_cm,tail_behavior,INFO,INFO,912,2.7679140489847947,IQR flags=912 (2.7679%); MAD flags=994 (3.0168%),diagnostic only,Extremo não implica erro; nenhuma remoção aplicada.
