fold_id,test_month,average_precision_candidate,roc_auc_candidate,brier_candidate,log_loss_candidate,average_precision_baseline,roc_auc_baseline,brier_baseline,log_loss_baseline,delta_ap,delta_auc,delta_brier,delta_log_loss
1,2017-07,0.044324701848704,0.5776643739914197,0.0270787264207251,0.1277036676161121,0.044324701848704,0.5776643739914197,0.0270787264207251,0.1277036676161121,0.0,0.0,0.0,0.0
2,2017-08,0.0334744066193908,0.5268814606311737,0.0282434090671051,0.1313643452783496,0.0334744066193908,0.5268814606311737,0.0282434090671051,0.1313643452783496,0.0,0.0,0.0,0.0
3,2017-09,0.0556311916648237,0.5908615074441688,0.042173322910004,0.1836868037017756,0.0556311916648237,0.5908615074441688,0.042173322910004,0.1836868037017756,0.0,0.0,0.0,0.0
4,2017-10,0.0487107747972109,0.5680456670284902,0.0402297646087117,0.1762874207142447,0.0487107747972109,0.5680456670284902,0.0402297646087117,0.1762874207142447,0.0,0.0,0.0,0.0
5,2017-11,0.1565746729021634,0.5890677329385411,0.1169784132281602,0.4547195274633953,0.1565746729021634,0.5890677329385411,0.1169784132281602,0.4547195274633953,0.0,0.0,0.0,0.0
6,2017-12,0.1162770563492911,0.6246965790811485,0.0705176984851588,0.2849786156227,0.1162770563492911,0.6246965790811485,0.0705176984851588,0.2849786156227,0.0,0.0,0.0,0.0
7,2018-01,0.0805518518243306,0.5848239910839719,0.0537304136733938,0.2184323979690193,0.0805518518243306,0.5848239910839719,0.0537304136733938,0.2184323979690193,0.0,0.0,0.0,0.0
8,2018-02,0.1827494529148622,0.6094165051624437,0.128951086419008,0.4616629252795431,0.1827494529148622,0.6094165051624437,0.128951086419008,0.4616629252795431,0.0,0.0,0.0,0.0
9,2018-03,0.2414089471038056,0.6126054880314209,0.17153877698388,0.5964532237340909,0.2414089471038056,0.6126054880314209,0.17153877698388,0.5964532237340909,0.0,0.0,0.0,0.0
10,2018-04,0.0798942092843896,0.664594986690507,0.0431743222914971,0.1834161185388416,0.0798942092843896,0.664594986690507,0.0431743222914971,0.1834161185388416,0.0,0.0,0.0,0.0
11,2018-05,0.0784876692843861,0.5641654835875969,0.0616196360774967,0.2422707835725124,0.0784876692843861,0.5641654835875969,0.0616196360774967,0.2422707835725124,0.0,0.0,0.0,0.0
12,2018-06,0.01904066906407,0.5963859505581205,0.0161800723064363,0.1084714878169,0.01904066906407,0.5963859505581205,0.0161800723064363,0.1084714878169,0.0,0.0,0.0,0.0
13,2018-07,0.0415330575582808,0.5240425029744968,0.0351076524720802,0.164172056064381,0.0415330575582808,0.5240425029744968,0.0351076524720802,0.164172056064381,0.0,0.0,0.0,0.0
14,2018-08,0.048903759002538,0.3622593096544343,0.0586743467029153,0.2354134234487723,0.048903759002538,0.3622593096544343,0.0586743467029153,0.2354134234487723,0.0,0.0,0.0,0.0
