model,n,prevalence,mean_prediction,calibration_in_the_large,brier,baseline_brier,brier_skill_score,ECE_quantile10,calibration_intercept,calibration_slope,murphy_reliability_binned,murphy_resolution_binned,murphy_uncertainty
LOGIT_MLE,81860,0.0727217200097727,0.0637790649810774,-0.0089426550286953,0.0676276501762185,0.067433271448593,-0.0028825344440508,0.0230281321822304,-1.2232155493454149,0.4740432381270524,0.0008565620479134,0.0008768226744319,0.067433271448593
GN_FREE_BRIER,81860,0.0727217200097727,0.0629023423239546,-0.0098193776858181,0.0677000497790945,0.067433271448593,-0.0039561825308285,0.0253760864552015,-1.323688863507929,0.4291734138926882,0.0009886626962964,0.0009335719085381,0.067433271448593
GNADMM_GE0,81860,0.0727217200097727,0.0629044605015397,-0.009817259508233,0.0676845841046702,0.067433271448593,-0.003726834701603,0.0251818815268797,-1.2171740785651712,0.4685419534914614,0.0009718931364146,0.0009306201365527,0.067433271448593
GN_EQ0,81860,0.0727217200097727,0.0627717164853164,-0.0099500035244563,0.0675613821022812,0.067433271448593,-0.0018998137111869,0.0250772330805011,-1.0401695785473335,0.5332860906341232,0.000950710035646,0.0009300709696717,0.067433271448593
GNADMM_LE0,81860,0.0727217200097727,0.0627942151231993,-0.0099275048865734,0.0675783117752915,0.067433271448593,-0.0021508718705589,0.0252496188539991,-1.138160338280316,0.4967896749267268,0.0009686412401194,0.0009357864836778,0.067433271448593
