model,n_eval_months,n_predictions,pooled_AP,pooled_Brier,pooled_LogLoss,pooled_AUC,pooled_ECE10_quantile,mean_monthly_AP,mean_monthly_Brier,mean_monthly_LogLoss,mean_monthly_AUC
GN_EQ0,13,78009,0.10453629985924517,0.06954393427061017,0.26610972968124785,0.6249113075058451,0.026829048303414954,0.1277391299915214,0.0657922813950306,0.25433369970645886,0.630288266748865
LOGIT_MLE,13,78009,0.10109933982752645,0.0696166897680147,0.2681601711808705,0.6199759028066848,0.024779442267165747,0.12487608686619711,0.06590787149837099,0.2573202677052559,0.633921445865625
ENSEMBLE,13,78009,0.10435619501070365,0.06965567391237941,0.26830078995335765,0.6257165036755441,0.026896992008590727,0.12714696132938627,0.06596115858047823,0.2575677853716834,0.6316810971345035
