model_A,model_B,metric,direction,n_months,mean_oriented_delta,median_oriented_delta,months_A_better,months_B_better,ties,wilcoxon_stat,wilcoxon_p,exact_sign_test_p,exact_signflip_p,block2_CI95_low,block2_CI95_high,block2_prob_delta_positive,block3_CI95_low,block3_CI95_high,block3_prob_delta_positive,LOMO_mean_min,LOMO_mean_max,evidence_classification
GN_EQ0,LOGIT_MLE,AP,HIGHER,14,0.0024107907467564847,0.003286028047266548,8,6,0,34.0,0.267578125,0.79052734375,0.2568359375,-0.001471379439624339,0.0060481993240263645,0.89,-0.0012458800313162365,0.005709452412753517,0.8996,0.0014796022851999142,0.003550722563320621,FAVORABLE_NOT_DECISIVE
GN_EQ0,LOGIT_MLE,Brier,LOWER,14,0.00010268034794322181,3.352239318074948e-05,7,7,0,44.0,0.625732421875,1.0,0.66015625,-0.00034805163460889884,0.0005446167430448649,0.6726,-0.0003328612447960198,0.0005191608043024477,0.6916,-7.378090145942279e-05,0.00023633743754685404,POSITIVE_MEAN_MIXED_MONTHLY
GN_EQ0,LOGIT_MLE,LogLoss,LOWER,14,0.0027107291232713058,-4.4086424791103807e-05,6,8,0,51.0,0.9515380859375,0.79052734375,0.6688232421875,-0.0020598802623770056,0.009596572540767855,0.7748,-0.0019029038589631372,0.008979084580974014,0.81,-0.0004688020410380704,0.003448322131787385,POSITIVE_MEAN_MIXED_MONTHLY
GN_EQ0,LOGIT_MLE,AUC,HIGHER,14,-0.004064223818169926,-0.0013421609649095778,6,8,0,32.0,0.216552734375,0.79052734375,0.1363525390625,-0.009269668768292539,0.000685964315601071,0.0538,-0.009127995160364532,0.0008052636223740296,0.0552,-0.0050890317863969475,-0.002529102855857659,NO_FAVORABLE_SIGNAL
GN_EQ0,GNADMM_GE0,AP,HIGHER,14,0.00023148457760215662,0.0,4,3,7,13.0,0.9375,1.0,0.78125,-0.0006653489834568929,0.0013336825635831575,0.6664,-0.0004994131134724916,0.0012281064291996694,0.6756,-0.0003858967322176854,0.000610601149170599,FAVORABLE_NOT_DECISIVE
GN_EQ0,GNADMM_GE0,Brier,LOWER,14,0.00017234327629976693,7.854827899222983e-14,8,6,0,40.0,0.463134765625,0.79052734375,0.2628173828125,-9.255534955874293e-07,0.000515995076379076,0.922,-8.79837881019077e-07,0.0005157715201409244,0.9106,1.0336467744952491e-06,0.00018640226256966423,FAVORABLE_NOT_DECISIVE
GN_EQ0,GNADMM_GE0,LogLoss,LOWER,14,0.003089461687068931,-1.6930901125533637e-15,7,7,0,50.0,0.9031982421875,1.0,0.6824951171875,-1.3271278869122205e-05,0.009283312366785989,0.7538,-1.0325663454377662e-05,0.009278192496257621,0.7322,-6.349374036134909e-06,0.0033343183907186716,POSITIVE_MEAN_MIXED_MONTHLY
GN_EQ0,GNADMM_GE0,AUC,HIGHER,14,-0.0002632060038402733,0.0,4,3,7,14.0,1.0,1.0,0.71875,-0.0008725182821783852,0.00016540284634271516,0.1916,-0.0008590766015540696,0.0001421795289109153,0.1636,-0.00039215627967621204,0.0001062940001566934,NO_FAVORABLE_SIGNAL
