family,model,months,mean_AP,median_AP,mean_Brier,median_Brier,mean_LogLoss,mean_AUC
NONLINEAR_RELIABILITY,N1_Linear,14,0.12056569872496804,0.1017217192284702,0.06288059262392,0.0477209679493867,,
NONLINEAR_RELIABILITY,N2_Quadratic,14,0.1194755443799871,0.09586152770008935,0.06310062042557084,0.0477174020555166,,
NONLINEAR_RELIABILITY,N3_Natural_Spline_df4,14,0.11977525270467902,0.09778158963637151,0.06311637422491487,0.04772026681659875,,
NONLINEAR_RELIABILITY,N4_Categorical,14,0.12072120123103183,0.1031448895051728,0.06288221380953271,0.0475984278891424,,
GNADMM_PRIMARY,GNADMM_BRIER_CONSTRAINED,14,0.1203449549037088,0.0964739571258514,0.0631830475516941,,0.2462114185937237,0.6173132254697559
GNADMM_PRIMARY,GN_BRIER,14,0.1199826379470125,0.0913490124899282,0.0632369752161259,,0.2498838764134901,0.6176403060159003
GNADMM_PRIMARY,LOGIT_MLE,14,0.1186720711389715,0.0956535900311631,0.0631527407006554,,0.2483031270594207,0.6217611790095791
GNADMM_CONSTRAINT_ABLATION,GNADMM_GE0,14,0.1208513773081258,0.0971202638415726,0.063222403629012,,0.2486818596232183,0.6179601611952494
GNADMM_CONSTRAINT_ABLATION,GNADMM_LE0,14,0.1202368614837732,0.0914370298276462,0.0630658193948295,,0.2467296619227105,0.6174473677923121
GNADMM_CONSTRAINT_ABLATION,GN_EQ0,14,0.121082861885728,0.0964934324905811,0.0630500603527122,,0.2455923979361494,0.6176969551914092
GNADMM_CONSTRAINT_ABLATION,GN_FREE_BRIER,14,0.119985854460622,0.0913554202652226,0.0632368733351258,,0.2499298543815116,0.6177378855932296
GNADMM_CONSTRAINT_ABLATION,LOGIT_MLE,14,0.1186720711389715,0.0956535900311631,0.0631527407006554,,0.2483031270594207,0.6217611790095791
