metric,n_months,mean_oriented_delta,median_oriented_delta,months_GN_EQ0_better,months_LOGIT_MLE_better,ties,wilcoxon_p,sign_test_p,LOMO_mean_min,LOMO_mean_max,classification
AP,14,0.0024107907467564847,0.003286028047266548,8,6,0,0.267578125,0.79052734375,0.0014796022851999142,0.003550722563320621,FAVORABLE_NOT_DECISIVE
Brier,14,0.00010268034794322181,3.352239318074948e-05,7,7,0,0.625732421875,1.0,-7.378090145942279e-05,0.00023633743754685404,BETTER_MEAN_BUT_NOT_TEMPORALLY_CONSISTENT
LogLoss,14,0.0027107291232713058,-4.4086424791103807e-05,6,8,0,0.9515380859375,0.79052734375,-0.0004688020410380704,0.003448322131787385,BETTER_MEAN_BUT_NOT_TEMPORALLY_CONSISTENT
AUC,14,-0.004064223818169926,-0.0013421609649095778,6,8,0,0.216552734375,0.79052734375,-0.0050890317863969475,-0.002529102855857659,NO_ADVANTAGE
