table,column,value,count,pct_non_null,domain_status,business_label,notes
products,product_category_name,ferramentas_jardim,753,2.3283139049503725,OBSERVED,ferramentas_jardim,
products,product_category_name,pet_shop,719,2.2231841934386694,OBSERVED,pet_shop,
products,product_category_name,eletronicos,517,1.5985900250456078,OBSERVED,eletronicos,
products,product_category_name,construcao_ferramentas_construcao,400,1.236820135431805,OBSERVED,construcao_ferramentas_construcao,
products,product_category_name,eletrodomesticos,370,1.1440586252744194,OBSERVED,eletrodomesticos,
products,product_category_name,malas_acessorios,349,1.0791255681642498,OBSERVED,malas_acessorios,
products,product_category_name,consoles_games,317,0.9801799573297053,OBSERVED,consoles_games,
products,product_category_name,moveis_escritorio,309,0.9554435546210692,OBSERVED,moveis_escritorio,
products,product_category_name,instrumentos_musicais,289,0.893602547849479,OBSERVED,instrumentos_musicais,
products,product_category_name,eletroportateis,231,0.7142636282118673,OBSERVED,eletroportateis,
products,product_category_name,casa_construcao,225,0.6957113261803902,OBSERVED,casa_construcao,
products,product_category_name,livros_interesse_geral,216,0.6678828731331746,OBSERVED,livros_interesse_geral,
products,product_category_name,fashion_calcados,173,0.5349247085742556,OBSERVED,fashion_calcados,
products,product_category_name,moveis_sala,156,0.4823598528184039,OBSERVED,moveis_sala,
products,product_category_name,climatizacao,124,0.3834142419838595,OBSERVED,climatizacao,
products,product_category_name,livros_tecnicos,123,0.38032219164527997,OBSERVED,livros_tecnicos,
products,product_category_name,telefonia_fixa,116,0.3586778392752234,OBSERVED,telefonia_fixa,
products,product_category_name,casa_conforto,111,0.34321758758232584,OBSERVED,casa_conforto,
products,product_category_name,market_place,104,0.32157323521226927,OBSERVED,market_place,
products,product_category_name,alimentos_bebidas,104,0.32157323521226927,OBSERVED,alimentos_bebidas,
products,product_category_name,fashion_roupa_masculina,95,0.2937447821650536,OBSERVED,fashion_roupa_masculina,
products,product_category_name,moveis_cozinha_area_de_servico_jantar_e_jardim,94,0.2906527318264741,OBSERVED,moveis_cozinha_area_de_servico_jantar_e_jardim,
products,product_category_name,sinalizacao_e_seguranca,93,0.2875606814878946,OBSERVED,sinalizacao_e_seguranca,
products,product_category_name,construcao_ferramentas_seguranca,91,0.2813765808107356,OBSERVED,construcao_ferramentas_seguranca,
products,product_category_name,eletrodomesticos_2,90,0.27828453047215607,OBSERVED,eletrodomesticos_2,
products,product_category_name,construcao_ferramentas_jardim,88,0.27210042979499705,OBSERVED,construcao_ferramentas_jardim,
products,product_category_name,alimentos,82,0.25354812776352,OBSERVED,alimentos,
products,product_category_name,bebidas,81,0.25045607742494047,OBSERVED,bebidas,
products,product_category_name,construcao_ferramentas_iluminacao,78,0.24117992640920194,OBSERVED,construcao_ferramentas_iluminacao,
products,product_category_name,agro_industria_e_comercio,74,0.2288117250548839,OBSERVED,agro_industria_e_comercio,
products,product_category_name,industria_comercio_e_negocios,68,0.21025942302340683,OBSERVED,industria_comercio_e_negocios,
products,product_category_name,artigos_de_natal,65,0.20098327200766827,OBSERVED,artigos_de_natal,
products,product_category_name,audio,58,0.1793389196376117,OBSERVED,audio,
products,product_category_name,artes,55,0.17006276862187317,OBSERVED,artes,
products,product_category_name,fashion_underwear_e_moda_praia,53,0.16387866794471415,OBSERVED,fashion_underwear_e_moda_praia,
products,product_category_name,dvds_blu_ray,48,0.1484184162518166,OBSERVED,dvds_blu_ray,
products,product_category_name,moveis_quarto,45,0.13914226523607803,OBSERVED,moveis_quarto,
products,product_category_name,construcao_ferramentas_ferramentas,39,0.12058996320460097,OBSERVED,construcao_ferramentas_ferramentas,
products,product_category_name,livros_importados,31,0.09585356049596487,OBSERVED,livros_importados,
products,product_category_name,portateis_casa_forno_e_cafe,31,0.09585356049596487,OBSERVED,portateis_casa_forno_e_cafe,
products,product_category_name,pcs,30,0.09276151015738536,OBSERVED,pcs,
products,product_category_name,cine_foto,28,0.08657740948022634,OBSERVED,cine_foto,
products,product_category_name,fashion_roupa_feminina,27,0.08348535914164683,OBSERVED,fashion_roupa_feminina,
products,product_category_name,musica,27,0.08348535914164683,OBSERVED,musica,
products,product_category_name,artigos_de_festas,26,0.08039330880306732,OBSERVED,artigos_de_festas,
products,product_category_name,artes_e_artesanato,19,0.05874895643301073,OBSERVED,artes_e_artesanato,
products,product_category_name,fashion_esporte,19,0.05874895643301073,OBSERVED,fashion_esporte,
products,product_category_name,flores,14,0.04328870474011317,OBSERVED,flores,
products,product_category_name,fraldas_higiene,12,0.03710460406295415,OBSERVED,fraldas_higiene,
products,product_category_name,la_cuisine,10,0.03092050338579512,OBSERVED,la_cuisine,
products,product_category_name,moveis_colchao_e_estofado,10,0.03092050338579512,OBSERVED,moveis_colchao_e_estofado,
products,product_category_name,portateis_cozinha_e_preparadores_de_alimentos,10,0.03092050338579512,OBSERVED,portateis_cozinha_e_preparadores_de_alimentos,
products,product_category_name,tablets_impressao_imagem,9,0.02782845304721561,OBSERVED,tablets_impressao_imagem,
products,product_category_name,fashion_roupa_infanto_juvenil,5,0.01546025169289756,OBSERVED,fashion_roupa_infanto_juvenil,
products,product_category_name,casa_conforto_2,5,0.01546025169289756,OBSERVED,casa_conforto_2,
products,product_category_name,pc_gamer,3,0.009276151015738537,OBSERVED,pc_gamer,
products,product_category_name,seguros_e_servicos,2,0.006184100677159024,OBSERVED,seguros_e_servicos,
products,product_category_name,cds_dvds_musicais,1,0.003092050338579512,OBSERVED,cds_dvds_musicais,
sellers,seller_state,SP,1849,59.74151857835218,OBSERVED,SP,
sellers,seller_state,PR,349,11.276252019386106,OBSERVED,PR,
sellers,seller_state,MG,244,7.883683360258481,OBSERVED,MG,
sellers,seller_state,SC,190,6.138933764135703,OBSERVED,SC,
sellers,seller_state,RJ,171,5.525040387722132,OBSERVED,RJ,
sellers,seller_state,RS,129,4.168012924071083,OBSERVED,RS,
sellers,seller_state,GO,40,1.2924071082390953,OBSERVED,GO,
sellers,seller_state,DF,30,0.9693053311793215,OBSERVED,DF,
sellers,seller_state,ES,23,0.7431340872374798,OBSERVED,ES,
sellers,seller_state,BA,19,0.6138933764135702,OBSERVED,BA,
sellers,seller_state,CE,13,0.420032310177706,OBSERVED,CE,
sellers,seller_state,PE,9,0.29079159935379645,OBSERVED,PE,
sellers,seller_state,PB,6,0.1938610662358643,OBSERVED,PB,
sellers,seller_state,MS,5,0.16155088852988692,OBSERVED,MS,
sellers,seller_state,RN,5,0.16155088852988692,OBSERVED,RN,
sellers,seller_state,MT,4,0.12924071082390953,OBSERVED,MT,
sellers,seller_state,RO,2,0.06462035541195477,OBSERVED,RO,
sellers,seller_state,SE,2,0.06462035541195477,OBSERVED,SE,
sellers,seller_state,AC,1,0.03231017770597738,OBSERVED,AC,
sellers,seller_state,PI,1,0.03231017770597738,OBSERVED,PI,
sellers,seller_state,MA,1,0.03231017770597738,OBSERVED,MA,
sellers,seller_state,AM,1,0.03231017770597738,OBSERVED,AM,
sellers,seller_state,PA,1,0.03231017770597738,OBSERVED,PA,
