path,domain,lifecycle,exists
src/spatiotemporal_logistics/02_build_external_context_checkpoint.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/02_validate_external_schema.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/03_build_master_checkpoint.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/03_temporal_eligibility.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/04_build_municipality_crosswalk.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/04_run_four_analyses.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/05_curate_external_sources.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/05_integrated_validation_report.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/06_cost_structure_scientific_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/06_join_coverage_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/07_build_context_features.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/07_expected_freight_residual_scientific_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/08_delivery_speed_hierarchical_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/08_spatiotemporal_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/09_delivery_reliability_hierarchical_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/10_validate_scientific_06_09.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/11_nonlinear_freight_reliability_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/12_delivery_speed_corrected_nonlinear_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/13_context_and_mechanism_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/14_integrated_scientific_freeze.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/15_gnadmm_delivery_operator_jacobian_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/16_gn_brier_unconstrained.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/17_gnadmm_brier_constrained.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/18_gnadmm_delivery_oot_benchmark.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/19_gnadmm_paired_temporal_inference.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/20_gnadmm_constraint_ablation.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/21_gnadmm_calibration_resolution_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/22_gnadmm_scientific_freeze.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/23_scientific_evidence_freeze.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/24_predictive_model_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/25_governance_reproducibility_audit.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/25f_final_model_consistency.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/25f_final_temporal_robustness.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/25f_paired_ablation_inference.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/25i_prequential_probability_blend.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/25n_final_model_selection.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/25p_update_final_documentation.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/26_project_closeout.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/backup_nonlinear_before_lowmem_20260831T032343Z/11_nonlinear_freight_reliability_audit.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/backup_nonlinear_before_lowmem_20260831T032343Z/12_delivery_speed_corrected_nonlinear_audit.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/backup_nonlinear_before_lowmem_20260831T032343Z/13_context_and_mechanism_audit.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/backup_nonlinear_before_lowmem_20260831T032343Z/14_integrated_scientific_freeze.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/clean_loop_syntax.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/fix_all_syntax_and_vectorize.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/fix_exact_line922.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/fix_gc_syntax.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/fix_oom_and_run.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/patch_01_ibge_population_reader.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/patch_02_fix_geolocation_bottleneck.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/patch_03_vectorize_route_loop.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/patch_04_fix_gdp_header.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/patch_04_fix_gdp_header_full.py,SPATIOTEMPORAL_LOGISTICS,SCIENTIFIC_CORE,true
src/spatiotemporal_logistics/repair_fast_core_syntax.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/restaurar_e_rodar.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/restore_original_routes.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/00_environment_and_registry.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/01_build_route_checkpoint.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/01_inventory_external.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/02_build_external_context_checkpoint.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/02_validate_external_schema.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/03_build_master_checkpoint.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/03_temporal_eligibility.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/04_build_municipality_crosswalk.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/04_run_four_analyses.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/05_curate_external_sources.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/05_integrated_validation_report.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/06_join_coverage_audit.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/07_build_context_features.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/08_spatiotemporal_audit.py,SPATIOTEMPORAL_LOGISTICS,SUPPORT_OR_HISTORICAL,true
